1,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat
1,ok lar joking wif u oni
1,u dun say so early hor u c already then say
1,nah i dont think he goes to usf he lives around here though
1,even my brother is not like to speak with me they treat me like aids patent
1,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press number to copy your friends callertune
1,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today
1,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
1,i have a date on sunday with will
1,oh kim watching here
1,eh u remember how number spell his name yes i did he v naughty make until i v wet
1,fine if thats the way u feel thats the way its gota b
1,is that seriously how you spell his name
1,im going to try for number months ha ha only joking
1,so  pay first lar then when is da stock comin
1,aft i finish my lunch then i go str down lor ard number smth lor u finish ur lunch already
1,ffffffffff alright no way i can meet up with you sooner
1,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol
1,lol your always so convincing
1,did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love 
1,im back amp were packing the car now ill let you know if theres room
1,ahhh work i vaguely remember that what does it feel like lol
1,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us
1,yeah he got in at number and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till number but we wont go there not doing too badly cheers you
1,k tell me anything about you
1,for fear of fainting with the of all that housework you just did quick have a cuppa
1,yup ok i go home look at the timings then i msg  again xuhui going to learn on numbernd may too but her lesson is at numberam
1,oops ill let you know when my roommates done
1,i see the letter b on my car
1,anything lor u decide
1,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything
1,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
1,did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy
1,who are you seeing
1,great i hope you like your man well endowed i am  ltgt  inches
1,no callsmessagesmissed calls
1,didnt you get hep b immunisation in nigeria
1,fair enough anything going on
1,yeah hopefully if tyler cant do it i could maybe ask around a bit
1,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers
1,what you thinked about me first time you saw me in class
1,a gram usually runs like  ltgt  a half eighth is smarter though and gets you almost a whole second gram for  ltgt
1,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight
1,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing
1,do you know what mallika sherawat did yesterday find out now   lturlgt
1,sorry ill call later in meeting
1,tell where you reached
1,yesgauti and sehwag out of odi series
1,your gonna have to pick up a number burger for yourself on your way home i cant even move pain is killing me
1,ha ha ha good joke girls are situation seekers
1,its a part of checking iq
1,sorry my roommates took forever it ok if i come by now
1,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
1,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
1,i plane to give on this month end
1,wah lucky man then can save money hee
1,finished class where are you
1,hi babe im at home now wanna do something xx
1,kkwhere are youhow did you performed
1,u can call me now
1,i am waiting machan call me once you free
1,thats cool i am a gentleman and will treat you with dignity and respect
1,i like you peoples very much but am very shy pa
1,does not operate after  ltgt  or what
1,its not the same here still looking for a job how much do tas earn there
1,sorry ill call later
1,k did you call me just now ah
1,ok i am on the way to home hi hi
1,you will be in the place of that man
1,yup next stop
1,i call you later dont have network if urgnt sms me
1,for real when u getting on yo i only need number more tickets and one more jacket and im done i already used all my multis
1,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros
1,im really not up to it still tonight babe
1,ela kanoil download come wen ur free
1,yeah do dont stand to close tho youll catch something
1,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuffnumbernumbermoro and that includes all my time sheets and that sorry
1,smile in pleasure smile in pain smile when trouble pours like rain smile when sumnumber hurts u smile becoz someone still loves to see u smiling
